Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MAC,,,,6.0695476786,9.672605339299999,5.0941609338,,,2.8294330687,2.127084809,1.4541224371,2.2300295783,2.1751639777,1.5430223565,1.8825478402000002,0.7357593773000001,,
MKD,,,,,2.5484989341,2.5384614236000003,2.7280731124,2.9669848757999997,3.4519846199,2.7544970854,2.6004497306,2.4962177407,2.0508593589,1.7539380782,1.750318096,1.9412170362999999,,
MDG,,,,,,,,,,,,,,8.1243072212,,,,
MWI,,,,,,,,,,,,,,35.979716836,,,,
MYS,1.9111222003,2.1038163228,2.4791682152,2.8177913102999996,2.5713126,2.3532015435,,,,,1.9041969766,2.2718478891,,,,,,
MDV,,,,,,,,,,,,,0.9883408722,1.6253185624000002,,,,
MLI,,,,,,,,,,,,,,8.0013886593,,,,
MLT,,,,,,,1.5009531052,1.4916319448,0.0,1.7191287456,0.9772902186,0.0,0.9694431519,1.4494644229,0.9633447329000001,0.9603495672,,
MHL,,,,,,,,,,,,,,,,,,
MRT,,,,,,,,,,,,,,14.718137054000001,,,,
MUS,2.1985791902000003,2.9553704296,2.0647150521,2.641780526,1.9417967530000002,2.173863968,2.31734558,2.4571332625999998,2.9183021318,2.8097351704,2.9441205912,3.9473144051999998,3.5276133736,3.7387574395,2.9420668329,2.5400793736000002,,
MEX,16.919404883,15.454135349000001,14.199296960999998,14.07806997,12.433804885,10.741340145999999,10.150050711,9.8290868148,9.708133395599999,8.8698970555,9.3169139402,9.6925626154,8.1184204983,12.660543987,17.675983662,22.708788629,23.69388308,
FSM,,,,,,,,,,,,,,0.906067937,,,,
MDA,9.1040046096,9.2857343495,9.3244025237,8.4571304033,9.119053807,10.543653159,10.148002428,10.053386253,8.1870255407,7.2363323446,7.8579703712,7.0525639435,5.910326457,6.492329285399999,6.827922205,7.47295253,,
MCO,,,,,,,,,,2.8343064451999997,2.8360748724000002,2.8355119517,0.0,0.0,,,,
MNG,,,,,,,,,,13.24338964,15.624147395,13.002376415999999,11.16399296,7.947593866,8.076236724500001,8.6719852424,,
MNE,,,,,,,,,3.1872509960000004,2.2331682915999997,3.5102331273000003,3.9867703014,1.5924530465,3.6555226205,3.4896539691000004,,,
MAR,,,,,1.8984395319,1.6010704736,1.8641086107,1.5685512402000001,1.7131158433000002,1.5623882228000001,1.5431452386000002,1.6220397286000001,1.6671396678000001,1.3600901593,1.36559665,1.3989992054,,
MOZ,,,,,,,,,,,,,8.8256899191,,,,,
MMR,,,,,,,,,,,,,,10.158662434,,,,
NAM,22.587552501999998,20.752803539000002,18.665747269,22.578760764000002,20.475042597999998,20.043896133,18.229714021,17.533120368,,17.226705897000002,,,,,,,,
NPL,,,2.533956337,2.7950922995,2.6442399304,2.6023943832,3.3946907677,3.3564696324,2.8955538904,3.5032726218,3.3465355933999996,2.274224397,3.066204861,3.1724222201,2.7792176896,,,
NLD,1.9387680005,1.5466785658000002,1.5186644826,1.3256255853,1.4579540012,1.4058025604,1.6548148908000002,1.3959921937,1.5305766141,1.3744144794,1.2081844747,0.9708169376000001,0.9973556089,1.066455767,1.0809656562,,,
NCL,,,,,,,,,,,,,,,,,,
NZL,1.0884176041,1.2912451962,1.5990912897,1.2951074014,1.178822995,1.3478374466999998,1.3054061733,1.5143950825,1.0943180272,1.1031764126,1.4755266965,1.1708754062,1.1340919620999999,1.2155755435,1.5037148697999998,1.0530807649,0.8834504584999999,
NIC,15.246795369,13.986415852,14.073125119,13.00925958,11.231838358,9.381706146,10.429948909,10.613587998,12.007705354,12.061212708,13.439432955,13.142740538,12.833292652999999,13.059887213,14.044968416,13.562161259000002,12.572704045999998,
NER,,,,,,,,,,,,,,3.8200673536000003,,,,
NGA,,,,,,,,,,,,,,12.227067164000001,,,,
MNP,,,,,,,,,,,,,,,,,,
NOR,0.9864430606999999,0.9805846519,0.8612694386,0.8560008362,0.8285441986,1.0911052874,0.8196806657,1.0141990066,1.1187498081,0.7848188137000001,0.7137761831999999,0.7068194368,0.6353218625,0.7114520129,0.5999170046,0.5938836942,,
OMN,,,,,,,0.5703828278,0.6513599963000001,,,,,0.7027991318000001,0.6826034343,,,,
PAK,,6.9314568864999995,6.9300465725,7.434970026699999,6.6062079709,6.1623753949,6.4571260149,6.2470396206,6.1029165522,6.2357217275,6.0707692599000005,6.2211585714,6.419144237799999,7.201885679299999,7.3263417553,7.6085849424,7.8417898418,
PLW,,,,,,,,,,,,,,0.0,,,,
PAN,14.083317955,9.0785392484,11.301551219,9.8829659871,9.8288198933,10.114589162,10.15722117,12.381387126,10.814044821,9.6795411897,11.240392784,11.260909195,13.251069263,19.198664196,23.628636405,21.581997373000004,,
PNG,,,,,,,,,,,,,,13.039625192,,,,
PRY,,,,,,,24.092758219,24.655377307,22.640163756,20.89224578,15.039465455999999,12.348972647,14.805627119,15.119797915,13.371403991,11.480277163,,
PER,,,,,,,,,,5.6016377339,11.092658020999998,11.271644220999999,10.448739083,11.706286873,10.321513225,,,
